Payment Time,Order Time,Download time,Download by,Order status,Type of Order,paidStatus,Platform,Store Name,Member Name,Order No.,Platform Order ID,Amount,Payment Amount,COD amount,Preferential Amount,Cost Price,Profit,Product qty,Logistics Vendor,Warehouse,Logistics Costs,Recipient name,Recipient mobile number,Region,Recipient Address,Tag Name,Notes,Printing time
8/7/2024 7:52,8/7/2024 7:52,8/7/2024 7:52,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3666,TXN003666,705000,357350,0,347650,0,357350,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 15:44
8/7/2024 7:52,8/7/2024 7:52,8/7/2024 7:53,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3667,TXN003667,236500,0,105500,131000,0,100000,1,****,Warehouse A,5500,****,****,,****,,,8/7/2024 15:47
8/7/2024 7:58,8/7/2024 7:57,8/7/2024 7:59,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3671,TXN003671,176000,79056,0,96944,0,79056,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 15:12
8/7/2024 8:05,8/7/2024 8:05,8/7/2024 8:05,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3675,TXN003675,458950,0,188500,270450,0,188500,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:24
8/7/2024 8:07,8/7/2024 8:07,8/7/2024 8:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3678,TXN003678,388513,183063,0,205450,0,183063,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:59
8/7/2024 8:12,8/7/2024 8:10,8/7/2024 8:13,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3683,TXN003683,221318,133092,0,88226,0,133092,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:20
8/7/2024 8:14,8/7/2024 8:12,8/7/2024 8:14,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3686,TXN003686,222700,149950,0,72750,0,149950,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:14
8/7/2024 8:30,8/7/2024 8:30,8/7/2024 8:32,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3696,TXN003696,224860,0,126360,98500,0,126360,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 12:42
8/7/2024 8:38,8/7/2024 8:38,8/7/2024 8:38,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3702,TXN003702,201625,75630,0,125995,0,75630,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:32
8/7/2024 8:56,8/7/2024 8:56,8/7/2024 8:57,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3719,TXN003719,202116,0,55016,147100,0,55016,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:14
8/7/2024 9:03,8/7/2024 9:03,8/7/2024 9:03,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3725,TXN003725,264500,0,237500,27000,0,213000,1,****,Warehouse A,24500,****,****,,****,,,8/7/2024 14:31
8/7/2024 9:02,8/7/2024 9:02,8/7/2024 9:06,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3726,TXN003726,508673,391173,0,117500,0,391173,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:20
8/7/2024 9:10,8/7/2024 9:09,8/7/2024 9:10,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3738,TXN003738,221000,148250,0,72750,0,148250,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:34
8/7/2024 9:16,8/7/2024 9:16,8/7/2024 9:17,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3750,TXN003750,389995,231795,0,158200,0,231795,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:24
8/7/2024 9:18,8/6/2024 22:22,8/7/2024 9:19,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3752,TXN003752,221036,43006,0,178030,0,43006,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:18
8/7/2024 9:20,8/7/2024 9:17,8/7/2024 9:20,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3754,TXN003754,400000,172000,0,228000,0,172000,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 12:33
8/7/2024 9:23,8/7/2024 9:23,8/7/2024 9:24,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3760,TXN003760,346000,0,220000,126000,0,220000,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:49
8/7/2024 9:23,8/7/2024 9:23,8/7/2024 9:24,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3761,TXN003761,331900,0,129863,202037,0,129863,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:49
8/7/2024 9:29,8/7/2024 9:29,8/7/2024 9:30,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3767,TXN003767,400000,150500,0,249500,0,150500,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:00
8/6/2024 10:54,8/6/2024 10:54,8/7/2024 9:35,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3770,TXN003770,97500,0,76000,21500,0,54500,2,****,Warehouse A,21500,****,****,,****,,,8/7/2024 13:37
8/7/2024 9:33,8/7/2024 9:33,8/7/2024 9:34,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3771,TXN003771,221000,76600,0,144400,0,76600,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 12:34
8/7/2024 9:37,8/7/2024 9:37,8/7/2024 9:37,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3775,TXN003775,347007,202707,0,144300,0,202707,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:08
8/7/2024 9:39,8/7/2024 9:39,8/7/2024 9:39,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3778,TXN003778,115200,115200,0,0,0,94700,1,****,Warehouse A,20500,****,****,,****,,,8/7/2024 13:46
8/7/2024 9:46,8/6/2024 23:56,8/7/2024 9:46,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3784,TXN003784,386000,203400,0,182600,0,203400,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:59
8/7/2024 10:06,8/7/2024 10:06,8/7/2024 10:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3807,TXN003807,346000,182760,0,163240,0,182760,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:33
8/7/2024 10:07,8/7/2024 10:07,8/7/2024 10:08,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3808,TXN003808,417500,0,240000,177500,0,208500,1,****,Warehouse A,31500,****,****,,****,,,8/7/2024 12:41
8/7/2024 10:09,8/7/2024 10:09,8/7/2024 10:09,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3811,TXN003811,223000,102810,0,120190,0,100810,1,****,Warehouse A,2000,****,****,,****,,,8/7/2024 14:33
8/7/2024 10:15,8/7/2024 0:33,8/7/2024 10:15,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3820,TXN003820,453000,232500,0,220500,0,230500,1,****,Warehouse A,2000,****,****,,****,,,8/7/2024 14:33
8/7/2024 10:17,8/7/2024 10:16,8/7/2024 10:17,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3821,TXN003821,428700,288100,0,140600,0,288100,2,****,Warehouse A,0,****,****,,****,,,8/7/2024 12:33
8/7/2024 10:17,8/7/2024 10:16,8/7/2024 10:17,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3822,TXN003822,125625,94625,0,31000,0,90625,1,****,Warehouse A,4000,****,****,,****,,,8/7/2024 14:33
8/7/2024 10:23,8/7/2024 10:23,8/7/2024 10:23,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3830,TXN003830,417500,0,241000,176500,0,209500,1,****,Warehouse A,31500,****,****,,****,,,8/7/2024 12:41
8/7/2024 10:26,8/7/2024 10:26,8/7/2024 10:26,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3837,TXN003837,148762,0,97812,50950,0,97812,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 14:18
8/7/2024 10:27,8/7/2024 10:26,8/7/2024 10:27,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3838,TXN003838,223900,223900,0,0,0,200400,1,****,Warehouse A,23500,****,****,,****,,,8/7/2024 13:47
8/7/2024 10:27,8/7/2024 10:27,8/7/2024 10:27,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3839,TXN003839,408500,353217,0,55283,0,334717,1,****,Warehouse A,18500,****,****,,****,,,8/7/2024 15:40
8/7/2024 10:32,8/7/2024 10:32,8/7/2024 10:34,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3848,TXN003848,150760,76760,0,74000,0,76760,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 12:33
8/7/2024 10:48,8/7/2024 10:48,8/7/2024 10:48,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3864,TXN003864,176625,76675,0,99950,0,76675,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 12:17
8/7/2024 10:53,8/7/2024 10:53,8/7/2024 10:54,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3873,TXN003873,201000,0,103000,98000,0,103000,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 15:47
8/7/2024 10:55,8/7/2024 10:55,8/7/2024 10:56,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3875,TXN003875,402620,0,270920,131700,0,226420,1,****,Warehouse A,44500,****,****,,****,,,8/7/2024 13:25
8/7/2024 10:57,8/7/2024 10:57,8/7/2024 10:58,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3877,TXN003877,221125,113625,0,107500,0,113625,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:20
8/7/2024 11:07,8/7/2024 11:06,8/7/2024 11:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3890,TXN003890,151571,95551,0,56020,0,95551,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 13:27
8/7/2024 11:07,8/7/2024 11:06,8/7/2024 11:07,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3891,TXN003891,376740,175740,0,201000,0,175740,1,****,Warehouse A,0,****,****,,****,,,8/7/2024 15:40
8/7/2024 11:11,8/7/2024 11:09,8/7/2024 11:11,system,Shipped,Sales Order,,Platform A,Store A,****,OrderNo3896,TXN003896,334500,334500,0,0,0,290500,1,****,Warehouse A,44000,****,****,,****,,,8/7/2024 13:47
